Name	A549	BGC-823	HEK293	H9	PC-3M-IE8	T/G HA-VSMC	MCF-7	NSC	Panc-1	U251
hsa-miR-3918	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-933	N/A	N/A	0.285555223	N/A	N/A	N/A	0.632384179	N/A	N/A	N/A
hsa-miR-4296	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-3185	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-3689a-5p/hsa-miR-3689b-5p/hsa-miR-3689e	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-3680-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-510	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-3652	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-3181	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-3667-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-3664-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-381	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.894657103	N/A
hsa-miR-383	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-802	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4428	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-5590-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-5692a	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4729	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4475	0.203517091	0.776604386	0.25328813	0.306949089	N/A	0.635346127	0.694727529	0.568534819	N/A	0.617890492
hsa-miR-4535	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-5002-3p	N/A	N/A	N/A	N/A	0.950244695	N/A	N/A	N/A	N/A	N/A
hsa-miR-720	N/A	0.335631097	0.285155086	0.464288278	0.755833392	N/A	0.804974342	0.617260772	0.492203954	0.76565258
hsa-miR-4754	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4999-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4735-5p	N/A	N/A	0.348903895	0.338088851	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-5683	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4772-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-5088	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-3689d	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-5693	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4785	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4761-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-3529-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4665-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4748	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-345-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-5195-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4726-5p	0.250065605	0.740201056	0.583644378	N/A	0.88332607	0.918686817	N/A	N/A	0.780396594	N/A
hsa-miR-4474-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4472	N/A	N/A	0.316835514	0.535594843	0.828418442	N/A	N/A	0.497852116	0.612883956	N/A
hsa-miR-5580-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4699-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4462	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-5006-3p	N/A	N/A	0.207230168	N/A	0.782554463	N/A	0.975521886	N/A	N/A	N/A
hsa-miR-3682-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4640-3p	N/A	N/A	0.130194152	0.485480698	N/A	N/A	0.764444054	0.715208408	N/A	N/A
hsa-miR-548ai/hsa-miR-570-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4764-3p	0.294221914	0.664201118	0.575745412	0.363492342	0.841645308	N/A	0.86355893	N/A	0.705190825	0.49132073
hsa-miR-4417	N/A	N/A	N/A	0.10716757	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4525	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4451	0.324111774	N/A	0.78450897	0.366184877	0.861436773	N/A	0.845883393	0.606437141	0.669092325	N/A
hsa-miR-4786-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-5096	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-4427	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-10a-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.607088745	N/A
hsa-miR-30e-5p	N/A	0.17007034	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.434722509
hsa-miR-514a-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-548l	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-1268a/hsa-miR-1268b	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-548d-5p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
kshv-miR-K12-9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
